"","DCISMS1","DCISMS2","DCISMS3","DCISMS4","DCISMS5","DCISMS6","DCISMS7","DCISMS8","DCISMS9","DCISMS10","DCISMS11","DCISMS12","DCISMS13","DCISMS14","DCISMS15","DCISMS16","DCISMS17","DCISMS18","DCISMS19","DCISMS20","DCISMS21","DCISMS22","DCISMS23","DCISMS24","DCISMS25","DCISMS26","DCISMS27"
"DCISMS11",0.569039159219979,0.53622259778386,0.594533849732407,0.472693891634645,0.00787204745350033,0.307645170078239,-0.189775691950722,-0.102018017564567,0.483718420605873,-0.101625415479506,1,0.820000279808118,0.57970629067263,0.664431689529138,-0.00195077415243688,0.536244010276134,-0.126239027250646,-0.168608694555668,-0.0971847587569963,0.582574401895468,0.624272337606562,0.552963238704069,0.539790844254446,0.529534848946604,0.482179434912552,0.420477852833336,0.384843364269629
"DCISMS12",0.447026849115854,0.463392623229071,0.553288041084078,0.466083177003992,-0.00656876298262866,0.267067410936609,-0.153401623967277,-0.0796289455426909,0.438428140076879,-0.194093257927356,0.820000279808118,1,0.502481379555967,0.690802456268975,0.0670739336471089,0.510711484821587,-0.0772385661593129,0.0185464658342447,-0.0027028796098889,0.575565186174527,0.597763257636533,0.501614033676709,0.485622896013184,0.543212189735684,0.448398358427634,0.389846260695623,0.374379890155636
"DCISMS13",0.47096171531108,0.458589525202435,0.610513987436674,0.401474550648482,-0.19453214827053,0.327432728674786,-0.212280932876092,-0.197895803396403,0.350896054244224,-0.163962273838954,0.57970629067263,0.502481379555967,1,0.756353464343947,-0.177739772655053,0.373919314376453,-0.440949799311137,-0.356033007857074,-0.354348021145883,0.536096252090746,0.547121785549073,0.543458857405858,0.507260078756766,0.450352704828205,0.483919369857368,0.401824328241368,0.457822439265332
"DCISMS14",0.492517880915318,0.50119921658636,0.676313221303213,0.55137210713478,-0.140077336771638,0.350198447894257,-0.223200354181584,-0.0944811884237644,0.468189708756183,-0.190320908031541,0.664431689529138,0.690802456268975,0.756353464343947,1,-0.140345402756597,0.510228533810925,-0.277428326080498,-0.213481586904513,-0.191026813712996,0.614577532900891,0.674833596377658,0.596239559259881,0.527582726684855,0.55219400189161,0.564869185460755,0.377252326851037,0.43168364177076
"DCISMS15",-0.0542117906157307,-0.122779858741945,-0.129157798208559,0.0269936544958521,0.34436697483503,-0.0197947287282115,0.290942347462716,0.19916405262324,0.00617311111856136,0.430138832311971,-0.00195077415243688,0.0670739336471089,-0.177739772655053,-0.140345402756597,1,0.0863856958436831,0.50849575362686,0.538838731660885,0.460412133412709,-0.065926011560357,-0.0635298890123591,0.00498558606886206,-0.00726885784214035,-0.142317571130543,-0.03769290088935,-0.126534301815167,-0.177286309463308
"DCISMS16",0.422257156042881,0.35812485552892,0.341290940537502,0.414865096926351,0.00875976571117238,0.44139207492085,-0.0804143653359864,0.030702350611737,0.444030742399146,0.0223030891335555,0.536244010276134,0.510711484821587,0.373919314376453,0.510228533810925,0.0863856958436831,1,-0.075265440904135,0.0521700704597083,0.0440605121584532,0.62606436942728,0.391363418083518,0.363542671295686,0.494095809434085,0.414285400609882,0.356860439443418,0.191488721164586,0.224535291782423
"DCISMS17",-0.203866584342093,-0.24481842823638,-0.18732862547146,-0.12621117651515,0.339430071220492,-0.238110794561969,0.244649915842465,0.196421299730152,-0.174878397738614,0.250174930607459,-0.126239027250646,-0.0772385661593129,-0.440949799311137,-0.277428326080498,0.50849575362686,-0.075265440904135,1,0.593872718476598,0.561349002877173,-0.256012166380561,-0.220757013180218,-0.137168791980335,-0.238960723688869,-0.207818186345946,-0.217589804412291,-0.219760994127074,-0.301834279391316
"DCISMS18",-0.137452883524649,-0.170943939580219,-0.17902977070428,-0.0440717748996261,0.223073933764028,-0.133569627301743,0.22393513348168,0.191057587395788,-0.160471993729397,0.329755505871846,-0.168608694555668,0.0185464658342447,-0.356033007857074,-0.213481586904513,0.538838731660885,0.0521700704597083,0.593872718476598,1,0.60418725178348,-0.143069205507992,-0.2066379404776,-0.187547860351362,-0.234663569986204,-0.132609667792395,-0.163329232019213,-0.254430095069033,-0.247653582834469
"DCISMS19",-0.189302898917166,-0.234998644638258,-0.17900707222968,-0.0747305077785343,0.290560961751671,-0.166476598775461,0.238158182121924,0.267773974973192,-0.0694607673004025,0.333460345652894,-0.0971847587569963,-0.0027028796098889,-0.354348021145883,-0.191026813712996,0.460412133412709,0.0440605121584532,0.561349002877173,0.60418725178348,1,-0.193924471556492,-0.217063852146086,-0.197598487829717,-0.219138115438894,-0.160544485149997,-0.149832848797868,-0.287353206822093,-0.309435256999955
"DCISMS20",0.452510768724588,0.465009443974024,0.490274125073941,0.563675365497474,-0.131946390418987,0.508930128426577,-0.126861637561964,-0.0639946736877249,0.545439958965844,-0.131963516870583,0.582574401895468,0.575565186174527,0.536096252090746,0.614577532900891,-0.065926011560357,0.62606436942728,-0.256012166380561,-0.143069205507992,-0.193924471556492,1,0.605035915266016,0.560358580816149,0.617123906365989,0.480879910205733,0.469123606729242,0.372007837016155,0.471509243720308
